0,0,5
0,64,5
0,128,5
0,192,5
0,256,5
0,320,5
0,384,5
0,448,5
0,512,5
0,576,5
0,640,5
0,704,5
0,768,5
0,832,5
0,896,5
0,960,9
64,960,1
128,960,1
192,960,1
256,960,1
320,960,1
384,960,1
448,960,1
512,960,1
576,960,1
640,960,1
704,960,1
768,960,1
832,960,1
896,960,1
960,960,1
1024,960,1
1088,960,1
1152,960,1
1216,960,1
1280,960,1
1344,960,1
1408,960,1
1472,960,1
1536,0,3
1536,64,3
1536,128,3
1536,192,3
1536,256,3
1536,320,3
1536,384,3
1536,448,3
1536,512,3
1536,576,3
1536,640,3
1536,704,3
1536,768,3
1536,832,3
1536,896,3
1536,960,10
