192,832,1
256,832,2
64,0,11
128,0,8
64,64,5
64,128,5
64,192,5
64,256,5
64,320,5
64,384,5
64,448,5
64,512,5
64,576,5
64,640,5
0,0,4
0,64,4
0,128,4
0,192,4
0,256,4
0,320,4
0,384,4
0,448,4
0,512,4
0,576,4
0,640,4
0,704,4
0,768,4
0,832,4
0,896,4
0,960,4
64,960,4
128,960,4
192,960,4
256,960,4
320,960,4
384,960,4
448,960,4
512,960,4
576,960,4
640,960,4
704,960,4
768,960,4
832,960,4
896,960,4
960,0,4
960,64,4
960,128,4
960,192,4
960,256,4
960,320,4
960,384,4
960,448,4
960,512,4
960,576,4
960,640,4
960,704,4
960,768,4
960,832,4
960,896,4
960,960,4
0,704,1
64,704,1
128,704,1
192,704,2
192,768,5
192,832,5
192,896,9
128,768,4
128,832,4
128,896,4
64,768,4
64,832,4
64,896,4
256,896,1
320,896,1
384,896,1
448,896,1
512,896,1
576,896,1
640,896,10
640,832,3
640,768,3
640,704,3
640,640,3
640,576,3
640,512,3
704,896,4
704,832,4
704,768,4
704,704,4
704,640,4
704,576,4
704,512,4
768,896,4
768,832,4
768,768,4
768,704,4
768,640,4
768,576,4
768,512,4
832,896,4
832,832,4
832,768,4
832,704,4
832,640,4
832,576,4
832,512,4
896,896,4
896,832,4
896,768,4
896,704,4
896,640,4
896,576,4
896,512,4
640,448,0
704,448,1
768,448,1
832,448,1
896,448,10
512,0,3
576,0,4
640,0,4
704,0,4
768,0,4
832,0,4
896,0,4
512,64,6
576,64,7
640,64,7
704,64,7
768,64,7
832,64,7
896,64,12
896,128,3
896,192,3
896,256,3
896,320,3
896,384,3
300,550,0
364,550,1
428,550,1
492,550,2
300,614,6
364,614,7
428,614,7
492,614,8
